ann_term	sum	annotation
PF02296	61	Alpha adaptin AP2, C-terminal domain
PF02297	205	Cytochrome oxidase c subunit VIb
PF02298	2971	Plastocyanin-like domain
PF02301	191	HORMA domain
PF02302	1	PTS system, Lactose/Cellobiose specific IIB subunit
PF02304	0	Scaffold protein B
PF02308	0	MgtC family
PF02309	2187	AUX/IAA family
PF02310	0	B12 binding domain
PF02311	0	AraC-like ligand binding domain
PF02317	1	NAD/NADP octopine/nopaline dehydrogenase, alpha-helical domain
PF02319	498	E2F/DP family winged-helix DNA-binding domain
PF02320	85	Ubiquinol-cytochrome C reductase hinge protein
PF02321	15	Outer membrane efflux protein
PF02325	178	YGGT family
PF02326	32	Plant ATP synthase F0
PF02330	393	Mitochondrial glycoprotein
PF02336	1	Capsid protein VP4
PF02338	692	OTU-like cysteine protease
PF02341	129	RbcX protein
PF02342	2	TerD domain
PF02347	155	Glycine cleavage system P-protein
PF02348	67	Cytidylyltransferase
PF02350	1	UDP-N-acetylglucosamine 2-epimerase
PF02353	256	Mycolic acid cyclopropane synthetase
PF02355	1	Protein export membrane protein
PF02357	50	Transcription termination factor nusG
PF02358	965	Trehalose-phosphatase
PF02359	192	Cell division protein 48 (CDC48), N-terminal domain
PF02361	53	Cobalt transport protein
PF02362	5601	B3 DNA binding domain
PF02364	854	1,3-beta-glucan synthase component
PF02365	5625	No apical meristem (NAM) protein
PF02368	49	Bacterial Ig-like domain (group 2)
PF02373	819	JmjC domain, hydroxylase
PF02374	221	Anion-transporting ATPase
PF02375	444	jmjN domain
PF02378	2	Phosphotransferase system, EIIC
PF02380	0	T-antigen specific domain
PF02383	433	SacI homology domain
PF02386	204	Cation transport protein
PF02387	3	IncFII RepA protein family
PF02389	14	Cornifin (SPRR) family
PF02390	170	Putative methyltransferase
PF02391	56	MoaE protein
PF02392	72	Ycf4
PF02397	0	Bacterial sugar transferase
PF02401	90	LytB protein
PF02403	131	Seryl-tRNA synthetase N-terminal domain
PF02405	58	Permease MlaE
PF02407	0	Putative viral replication protein
PF02410	117	Ribosomal silencing factor during starvation
PF02416	118	mttA/Hcf106 family
PF02417	2	Chromate transporter
PF02419	70	PsbL protein
PF02421	54	Ferrous iron transport protein B
PF02423	57	Ornithine cyclodeaminase/mu-crystallin family
PF02424	1	ApbE family
PF02427	78	Photosystem I reaction centre subunit IV / PsaE
PF02428	130	Potato type II proteinase inhibitor family
PF02431	211	Chalcone-flavanone isomerase
PF02434	6	Fringe-like
PF02436	1	Conserved carboxylase domain
PF02439	2	Adenovirus E3 region protein CR2
PF02441	102	Flavoprotein
PF02445	57	Quinolinate synthetase A protein
PF02446	123	4-alpha-glucanotransferase
PF02449	2	Beta-galactosidase
PF02450	450	Lecithin:cholesterol acyltransferase
PF02451	21	Nodulin
PF02453	1008	Reticulon
PF02458	5299	Transferase family
PF02460	170	Patched family
PF02463	384	RecF/RecN/SMC N terminal domain
PF02464	0	Competence-damaged protein
PF02465	0	Flagellar hook-associated protein 2 N-terminus
PF02466	769	Tim17/Tim22/Tim23/Pmp24 family
PF02468	37	Photosystem II reaction centre N protein (psbN)
PF02469	1530	Fasciclin domain
PF02470	68	MlaD protein
PF02472	1	Biopolymer transport protein ExbD/TolR
PF02475	167	Met-10+ like-protein
PF02480	2	Alphaherpesvirus glycoprotein E
PF02482	56	Sigma 54 modulation protein / S30EA ribosomal protein
PF02485	1557	Core-2/I-Branching enzyme
PF02491	1	SHS2 domain inserted in FTSA
PF02492	246	CobW/HypB/UreG, nucleotide-binding domain
PF02493	4554	MORN repeat
PF02496	181	ABA/WDS induced protein
PF02502	65	Ribose/Galactose Isomerase
PF02507	61	Photosystem I reaction centre subunit III
PF02514	68	CobN/Magnesium Chelatase
PF02516	119	Oligosaccharyl transferase STT3 subunit
PF02517	391	CPBP intramembrane metalloprotease
PF02518	1397	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase
PF02519	3846	Auxin responsive protein
PF02527	57	rRNA small subunit methyltransferase G
PF02529	74	Cytochrome B6-F complex subunit 5
PF02531	69	PsaD
PF02532	29	Photosystem II reaction centre I protein (PSII 4.8 kDa protein)
PF02533	31	Photosystem II 4 kDa reaction centre component
PF02535	971	ZIP Zinc transporter
PF02536	3556	mTERF
PF02537	149	CrcB-like protein, Camphor Resistance (CrcB)
PF02538	59	Hydantoinase B/oxoprolinase
PF02540	73	NAD synthase
PF02541	40	Ppx/GppA phosphatase family
PF02542	59	YgbB family
PF02544	314	3-oxo-5-alpha-steroid 4-dehydrogenase
PF02545	128	Maf-like protein
PF02547	3	Queuosine biosynthesis protein
PF02548	82	Ketopantoate hydroxymethyltransferase
PF02551	9	Acyl-CoA thioesterase
PF02554	0	Carbon starvation protein CstA
PF02558	1	Ketopantoate reductase PanE/ApbA
PF02559	54	CarD-like/TRCF domain
PF02560	56	Cyanate lyase C-terminal domain
PF02562	0	PhoH-like protein
PF02563	0	Polysaccharide biosynthesis/export protein
PF02567	192	Phenazine biosynthesis-like protein
PF02568	1	Thiamine biosynthesis protein (ThiI)
PF02569	63	Pantoate-beta-alanine ligase
PF02574	162	Homocysteine S-methyltransferase
PF02575	79	YbaB/EbfC DNA-binding family
PF02576	50	RimP N-terminal domain
PF02577	127	Domain of unknown function (DUF151)
PF02578	0	Multi-copper polyphenol oxidoreductase laccase
PF02580	56	D-Tyr-tRNA(Tyr) deacylase
PF02581	83	Thiamine monophosphate synthase
PF02582	116	Uncharacterised ACR, YagE family COG1723
PF02583	0	Metal-sensitive transcriptional repressor
PF02585	64	GlcNAc-PI de-N-acetylase
PF02586	62	SOS response associated peptidase (SRAP)
PF02590	60	Predicted SPOUT methyltransferase
PF02592	0	Putative vitamin uptake transporter
PF02594	120	Uncharacterised ACR, YggU family COG1872
PF02597	55	ThiS family
PF02598	60	Putative RNA methyltransferase
PF02599	1	Global regulator protein family
PF02600	1	Disulfide bond formation protein DsbB
PF02602	105	Uroporphyrinogen-III synthase HemD
PF02605	63	Photosystem I reaction centre subunit XI
PF02606	57	Tetraacyldisaccharide-1-P 4'-kinase
PF02607	0	B12 binding domain
PF02617	102	ATP-dependent Clp protease adaptor protein ClpS
PF02620	102	Large ribosomal RNA subunit accumulation protein YceD
PF02622	176	Uncharacterized ACR, COG1678
PF02627	0	Carboxymuconolactone decarboxylase family
PF02628	85	Cytochrome oxidase assembly protein
PF02629	83	CoA binding domain
PF02630	117	SCO1/SenC
PF02631	61	RecX family
PF02636	113	Putative S-adenosyl-L-methionine-dependent methyltransferase
PF02637	64	GatB domain
PF02646	0	RmuC family
PF02653	2	Branched-chain amino acid transport system / permease component
PF02657	159	Fe-S metabolism associated domain
PF02659	0	Putative manganese efflux pump
PF02660	1	Glycerol-3-phosphate acyltransferase
PF02661	0	Fic/DOC family
PF02666	120	Phosphatidylserine decarboxylase
PF02668	144	Taurine catabolism dioxygenase TauD, TfdA family
PF02670	68	1-deoxy-D-xylulose 5-phosphate reductoisomerase
PF02671	695	Paired amphipathic helix repeat
PF02672	169	CP12 domain
PF02673	2	Bacitracin resistance protein BacA
PF02676	52	Methyltransferase TYW3
PF02678	149	Pirin
PF02679	59	(2R)-phospho-3-sulfolactate synthase (ComA)
PF02681	283	Divergent PAP2 family
PF02683	59	Cytochrome C biogenesis protein transmembrane region
PF02684	59	Lipid-A-disaccharide synthetase
PF02686	54	Glu-tRNAGln amidotransferase C subunit
PF02687	2	FtsX-like permease family
PF02689	118	Helicase
PF02690	0	Na+/Pi-cotransporter
PF02694	1	Uncharacterised BCR, YnfA/UPF0060 family
PF02696	71	Uncharacterized ACR, YdiU/UPF0061 family
PF02698	26	DUF218 domain
PF02701	1562	Dof domain, zinc finger
PF02704	818	Gibberellin regulated protein
PF02705	1160	K+ potassium transporter
PF02711	1	E4 protein
PF02713	81	Domain of unknown function DUF220
PF02714	694	Calcium-dependent channel, 7TM region, putative phosphate
PF02719	1	Polysaccharide biosynthesis protein
PF02721	323	Domain of unknown function DUF223
PF02724	77	CDC45-like protein
PF02727	331	Copper amine oxidase, N2 domain
PF02728	368	Copper amine oxidase, N3 domain
PF02729	125	Aspartate/ornithine carbamoyltransferase, carbamoyl-P binding domain
PF02731	78	SKIP/SNW domain
PF02732	182	ERCC4 domain
PF02733	83	Dak1 domain
PF02734	68	DAK2 domain
PF02735	120	Ku70/Ku80 beta-barrel domain
PF02736	361	Myosin N-terminal SH3-like domain
PF02737	238	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain
PF02738	267	Molybdopterin-binding domain of aldehyde dehydrogenase
PF02739	105	5'-3' exonuclease, N-terminal resolvase-like domain
PF02744	1	Galactose-1-phosphate uridyl transferase, C-terminal domain
PF02746	63	Mandelate racemase / muconate lactonizing enzyme, N-terminal domain
PF02747	116	Proliferating cell nuclear antigen, C-terminal domain
PF02749	56	Quinolinate phosphoribosyl transferase, N-terminal domain
PF02751	68	Transcription initiation factor IIA, gamma subunit
PF02754	0	Cysteine-rich domain
PF02765	74	Telomeric single stranded DNA binding POT1/CDC13
PF02767	1	DNA polymerase III beta subunit, central domain
PF02768	1	DNA polymerase III beta subunit, C-terminal domain
PF02769	250	AIR synthase related protein, C-terminal domain
PF02770	401	Acyl-CoA dehydrogenase, middle domain
PF02771	212	Acyl-CoA dehydrogenase, N-terminal domain
PF02772	242	S-adenosylmethionine synthetase, central domain
PF02773	225	S-adenosylmethionine synthetase, C-terminal domain
PF02774	119	Semialdehyde dehydrogenase, dimerisation domain
PF02775	394	Thiamine pyrophosphate enzyme, C-terminal TPP binding domain
PF02776	400	Thiamine pyrophosphate enzyme, N-terminal TPP binding domain
PF02777	239	Iron/manganese superoxide dismutases, C-terminal domain
PF02778	78	tRNA intron endonuclease, N-terminal domain
PF02779	654	Transketolase, pyrimidine binding domain
PF02780	535	Transketolase, C-terminal domain
PF02781	269	Glucose-6-phosphate dehydrogenase, C-terminal domain
PF02782	244	FGGY family of carbohydrate kinases, C-terminal domain
PF02784	232	Pyridoxal-dependent decarboxylase, pyridoxal binding domain
PF02785	177	Biotin carboxylase C-terminal domain
PF02786	302	Carbamoyl-phosphate synthase L chain, ATP binding domain
PF02787	58	Carbamoyl-phosphate synthetase large chain, oligomerisation domain
PF02788	191	Ribulose bisphosphate carboxylase large chain, N-terminal domain
PF02789	82	Cytosol aminopeptidase family, N-terminal domain
PF02790	58	Cytochrome C oxidase subunit II, transmembrane domain
PF02791	429	DDT domain
PF02792	78	Mago nashi protein
PF02797	570	Chalcone and stilbene synthases, C-terminal domain
PF02798	2546	Glutathione S-transferase, N-terminal domain
PF02799	98	Myristoyl-CoA:protein N-myristoyltransferase, C-terminal domain
PF02800	385	Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain
PF02801	300	Beta-ketoacyl synthase, C-terminal domain
PF02803	237	Thiolase, C-terminal domain
PF02805	0	Metal binding domain of Ada
PF02806	173	Alpha amylase, C-terminal all-beta domain
PF02807	0	ATP:guanido phosphotransferase, N-terminal domain
PF02809	318	Ubiquitin interaction motif
PF02810	93	SEC-C motif
PF02811	60	PHP domain
PF02812	212	Glu/Leu/Phe/Val dehydrogenase, dimerisation domain
PF02815	66	MIR domain
PF02817	302	e3 binding domain
PF02823	223	ATP synthase, Delta/Epsilon chain, beta-sandwich domain
PF02824	293	TGS domain
PF02825	8	WWE domain
PF02826	833	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain
PF02833	33	DHHA2 domain
PF02836	121	Glycosyl hydrolases family 2, TIM barrel domain
PF02837	61	Glycosyl hydrolases family 2, sugar binding domain
PF02838	0	Glycosyl hydrolase family 20, domain 2
PF02840	68	Prp18 domain
PF02841	168	Guanylate-binding protein, C-terminal domain
PF02843	67	Phosphoribosylglycinamide synthetase, C domain
PF02844	69	Phosphoribosylglycinamide synthetase, N domain
PF02845	255	CUE domain
PF02847	861	MA3 domain
PF02852	275	Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain
PF02854	494	MIF4G domain
PF02861	1311	Clp amino terminal domain, pathogenicity island component
PF02862	97	DDHD domain
PF02866	567	lactate/malate dehydrogenase, alpha/beta C-terminal domain
PF02867	118	Ribonucleotide reductase, barrel domain
PF02870	1	6-O-methylguanine DNA methyltransferase, ribonuclease-like domain
PF02872	0	5'-nucleotidase, C-terminal domain
PF02873	28	UDP-N-acetylenolpyruvoylglucosamine reductase, C-terminal domain
PF02874	568	ATP synthase alpha/beta family, beta-barrel domain
PF02875	113	Mur ligase family, glutamate ligase domain
PF02877	176	Poly(ADP-ribose) polymerase, regulatory domain
PF02878	338	Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I
PF02879	228	Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain II
PF02880	286	Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III
PF02881	293	SRP54-type protein, helical bundle domain
PF02882	220	Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain
PF02883	202	Adaptin C-terminal domain
PF02885	64	Glycosyl transferase family, helical bundle domain
PF02886	104	LBP / BPI / CETP family, C-terminal domain
PF02887	551	Pyruvate kinase, alpha/beta domain
PF02889	430	Sec63 Brl domain
PF02891	162	MIZ/SP-RING zinc finger
PF02892	859	BED zinc finger
PF02893	766	GRAM domain
PF02894	106	Oxidoreductase family, C-terminal alpha/beta domain
PF02896	71	PEP-utilising enzyme, PEP-binding domain
PF02897	302	Prolyl oligopeptidase, N-terminal beta-propeller domain
PF02899	1	Phage integrase, N-terminal SAM-like domain
PF02900	107	Catalytic LigB subunit of aromatic ring-opening dioxygenase
PF02902	3338	Ulp1 protease family, C-terminal catalytic domain
PF02906	64	Iron only hydrogenase large subunit, C-terminal domain
PF02907	1	Hepatitis C virus NS3 protease
PF02910	128	Fumarate reductase flavoprotein C-term
PF02911	57	Formyl transferase, C-terminal domain
PF02912	1	Aminoacyl tRNA synthetase class II, N-terminal domain
PF02913	122	FAD linked oxidases, C-terminal domain
PF02915	58	Rubrerythrin
PF02919	83	Eukaryotic DNA topoisomerase I, DNA binding fragment
PF02921	95	Ubiquinol cytochrome reductase transmembrane region
PF02922	385	Carbohydrate-binding module 48 (Isoamylase N-terminal domain)
PF02925	0	Bacteriophage scaffolding protein D
PF02926	91	THUMP domain
PF02928	313	C5HC2 zinc finger
PF02929	58	Beta galactosidase small chain
PF02933	238	Cell division protein 48 (CDC48), domain 2
PF02934	63	GatB/GatE catalytic domain
PF02938	58	GAD domain
PF02941	67	Ferredoxin thioredoxin reductase variable alpha chain
PF02943	57	Ferredoxin thioredoxin reductase catalytic beta chain
PF02945	1	Recombination endonuclease VII
PF02951	1	Prokaryotic glutathione synthetase, N-terminal domain
PF02953	292	Tim10/DDP family zinc finger
PF02954	1	Bacterial regulatory protein, Fis family
PF02955	1	Prokaryotic glutathione synthetase, ATP-grasp domain
PF02965	0	Vitamin B12 dependent methionine synthase, activation domain
PF02966	155	Mitosis protein DIM1
PF02969	98	TATA box binding protein associated factor (TAF)
PF02970	61	Tubulin binding cofactor A
PF02977	26	Carboxypeptidase A inhibitor
PF02978	171	Signal peptide binding domain
PF02984	1617	Cyclin, C-terminal domain
PF02985	550	HEAT repeat
PF02987	431	Late embryogenesis abundant protein
PF02990	758	Endomembrane protein 70
PF02991	378	Autophagy protein Atg8 ubiquitin like
PF02992	1239	Transposase family tnp2
PF02996	238	Prefoldin subunit
PF03000	1572	NPH3 family
PF03004	1282	Plant transposase (Ptta/En/Spm family)
PF03006	256	Haemolysin-III related
PF03007	465	Wax ester synthase-like Acyl-CoA acyltransferase domain
PF03009	570	Glycerophosphoryl diester phosphodiesterase family
PF03015	374	Male sterility protein
PF03016	2183	Exostosin family
PF03017	153	TNP1/EN/SPM transposase
PF03018	1785	Dirigent-like protein
PF03022	1	Major royal jelly protein
PF03023	7	Lipid II flippase MurJ
PF03024	59	Folate receptor family
PF03028	2	Dynein heavy chain region D6 P-loop domain
PF03029	212	Conserved hypothetical ATP binding protein
PF03030	279	Inorganic H+ pyrophosphatase
PF03031	1056	NLI interacting factor-like phosphatase
PF03033	223	Glycosyltransferase family 28 N-terminal domain
PF03034	81	Phosphatidyl serine synthase
PF03040	113	CemA family
PF03048	34	UL92 family
PF03050	2	Transposase IS66 family
PF03054	64	tRNA methyl transferase
PF03055	718	Retinal pigment epithelial membrane protein
PF03058	11	Sar8.2 family
PF03059	169	Nicotianamine synthase protein
PF03060	109	Nitronate monooxygenase
PF03061	467	Thioesterase superfamily
PF03062	201	MBOAT, membrane-bound O-acyltransferase family
PF03069	101	Acetamidase/Formamidase family
PF03070	212	TENA/THI-4/PQQC family
PF03071	64	GNT-I family
PF03073	72	TspO/MBR family
PF03078	244	ATHILA ORF-1 family
PF03079	138	ARD/ARD' family
PF03080	1362	Neprosin
PF03081	1133	Exo70 exocyst complex subunit
PF03083	2185	Sugar efflux transporter for intercellular exchange
PF03087	1150	Arabidopsis protein of unknown function
PF03088	690	Strictosidine synthase
PF03091	65	CutA1 divalent ion tolerance protein
PF03092	680	BT1 family
PF03094	1156	Mlo family
PF03095	56	Phosphotyrosyl phosphate activator (PTPA) protein
PF03096	188	Ndr family
PF03097	218	BRO1-like domain
PF03098	130	Animal haem peroxidase
PF03099	191	Biotin/lipoate A/B protein ligase family
PF03100	57	CcmE
PF03101	2437	FAR1 DNA-binding domain
PF03104	296	DNA polymerase family B, exonuclease domain
PF03105	1094	SPX domain
PF03106	4394	WRKY DNA -binding domain
PF03107	4919	C1 domain
PF03108	2012	MuDR family transposase
PF03109	947	ABC1 family
PF03110	956	SBP domain
PF03114	19	BAR domain
PF03116	2	NQR2, RnfD, RnfE family
PF03118	41	Bacterial RNA polymerase, alpha chain C terminal domain
PF03120	1	NAD-dependent DNA ligase OB-fold domain
PF03121	51	Herpesviridae UL52/UL70 DNA primase
PF03124	453	EXS family
PF03126	396	Plus-3 domain
PF03127	435	GAT domain
PF03128	6	CXCXC repeat
PF03129	491	Anticodon binding domain
PF03130	36	PBS lyase HEAT-like repeat
PF03131	5	bZIP Maf transcription factor
PF03133	64	Tubulin-tyrosine ligase family
PF03134	688	TB2/DP1, HVA22 family
PF03137	8	Organic Anion Transporter Polypeptide (OATP) family
PF03140	2870	Plant protein of unknown function
PF03141	1769	Putative S-adenosyl-L-methionine-dependent methyltransferase
PF03143	538	Elongation factor Tu C-terminal domain
PF03144	1106	Elongation factor Tu domain 2
PF03145	603	Seven in absentia protein family
PF03147	58	Ferredoxin-fold anticodon binding domain
PF03151	2018	Triose-phosphate Transporter family
PF03152	221	Ubiquitin fusion degradation protein UFD1
PF03153	150	Transcription factor IIA, alpha/beta subunit
PF03155	124	ALG6, ALG8 glycosyltransferase family
PF03157	6	High molecular weight glutenin subunit
PF03159	199	XRN 5'-3' exonuclease N-terminus
PF03161	54	LAGLIDADG DNA endonuclease family
PF03162	203	Tyrosine phosphatase family
PF03167	60	Uracil DNA glycosylase superfamily
PF03168	2725	Late embryogenesis abundant protein
PF03169	1277	OPT oligopeptide transporter protein
PF03171	6130	2OG-Fe(II) oxygenase superfamily
PF03175	73	DNA polymerase type B, organellar and viral
PF03177	88	Non-repetitive/WGA-negative nucleoporin C-terminal
PF03178	259	CPSF A subunit region
PF03179	133	Vacuolar (H+)-ATPase G subunit
PF03180	1	NLPA lipoprotein
PF03181	740	BURP domain
PF03184	14	DDE superfamily endonuclease
PF03186	0	CobD/Cbib protein
PF03188	919	Eukaryotic cytochrome b561
PF03190	57	Protein of unknown function, DUF255
PF03193	61	RsgA GTPase
PF03194	212	LUC7 N_terminus
PF03195	2116	Lateral organ boundaries (LOB) domain
PF03198	0	Glucanosyltransferase
PF03199	79	Eukaryotic glutathione synthase
PF03200	70	Glycosyl hydrolase family 63 C-terminal domain
PF03208	654	PRA1 family protein
PF03209	7	PUCC protein
PF03214	274	Reversibly glycosylated polypeptide
PF03215	56	Rad17 P-loop domain
PF03216	19	Rhabdovirus nucleoprotein
PF03219	125	TLC ATP/ADP transporter
PF03221	10	Tc5 transposase DNA-binding domain
PF03222	148	Tryptophan/tyrosine permease family
PF03223	80	V-ATPase subunit C
PF03224	93	V-ATPase subunit H
PF03226	474	Yippee zinc-binding/DNA-binding /Mis18, centromere assembly
PF03227	194	Gamma interferon inducible lysosomal thiol reductase (GILT)
PF03233	2	Aphid transmission protein
PF03235	0	Protein of unknown function DUF262
PF03242	278	Late embryogenesis abundant protein
PF03244	71	Photosystem I reaction centre subunit VI
PF03248	224	Rer1 family
PF03254	318	Xyloglucan fucosyltransferase
PF03255	86	Acetyl co-enzyme A carboxylase carboxyltransferase alpha subunit
PF03256	65	Anaphase-promoting complex, subunit 10 (APC10)
PF03259	1	Roadblock/LC7 domain
PF03266	58	NTPase
PF03271	122	EB1-like C-terminal motif
PF03279	1	Bacterial lipid A biosynthesis acyltransferase
PF03283	565	Pectinacetylesterase
PF03285	0	Paralemmin
PF03291	138	mRNA capping enzyme
PF03297	148	S25 ribosomal protein
PF03299	1	Transcription factor AP-2
PF03302	1	Giardia variant-specific surface protein
PF03309	0	Type III pantothenate kinase
PF03310	3	Caulimovirus DNA-binding protein
PF03311	175	Cornichon protein
PF03313	1	Serine dehydratase alpha chain
PF03315	1	Serine dehydratase beta chain
PF03317	4	ELF protein
PF03318	15	Clostridium epsilon toxin ETX/Bacillus mosquitocidal toxin MTX2
PF03321	735	GH3 auxin-responsive promoter
PF03328	75	HpcH/HpaI aldolase/citrate lyase family
PF03330	2202	Lytic transglycolase
PF03331	60	UDP-3-O-acyl N-acetylglycosamine deacetylase
PF03332	71	Eukaryotic phosphomannomutase
PF03343	129	SART-1 family
PF03345	87	Oligosaccharyltransferase 48 kDa subunit beta
PF03348	298	Serine incorporator (Serinc)
PF03350	175	Uncharacterized protein family, UPF0114
PF03351	246	DOMON domain
PF03352	309	Methyladenine glycosylase
PF03357	771	Snf7
PF03358	411	NADPH-dependent FMN reductase
PF03360	301	Glycosyltransferase family 43
PF03364	308	Polyketide cyclase / dehydrase and lipid transport
PF03366	84	YEATS family
PF03367	132	ZPR1 zinc-finger domain
PF03368	245	Dicer dimerisation domain
PF03371	131	PRP38 family
PF03372	1790	Endonuclease/Exonuclease/phosphatase family
PF03378	69	CAS/CSE protein, C-terminus
PF03381	229	LEM3 (ligand-effect modulator 3) family / CDC50 family
PF03384	122	Drosophila protein of unknown function, DUF287
PF03385	79	STELLO glycosyltransferases
PF03386	169	Early nodulin 93 ENOD93 protein
PF03398	592	Regulator of Vps4 activity in the MVB pathway
PF03399	175	SAC3/GANP family
PF03401	1	Tripartite tricarboxylate transporter family receptor
PF03404	147	Mo-co oxidoreductase dimerisation domain
PF03405	335	Fatty acid desaturase
PF03407	745	Nucleotide-diphospho-sugar transferase
PF03409	1	Transmembrane glycoprotein
PF03413	0	Peptidase propeptide and YPEB domain
PF03416	72	Peptidase family C54
PF03417	47	Acyl-coenzyme A:6-aminopenicillanic acid acyl-transferase
PF03428	1	Replication protein C N-terminal domain
PF03435	176	Saccharopine dehydrogenase NADP binding domain
PF03439	153	Early transcription elongation factor of RNA pol II, NGN section
PF03441	234	FAD binding domain of DNA photolyase
PF03443	0	Glycosyl hydrolase family 61
PF03444	1	Winged helix-turn-helix transcription repressor, HrcA DNA-binding
PF03446	555	NAD binding domain of 6-phosphogluconate dehydrogenase
PF03447	109	Homoserine dehydrogenase, NAD binding domain
PF03449	1	Transcription elongation factor, N-terminal
PF03450	216	CO dehydrogenase flavoprotein C-terminal domain
PF03453	54	MoeA N-terminal region (domain I and II)
PF03454	54	MoeA C-terminal region (domain IV)
PF03455	26	dDENN domain
PF03456	173	uDENN domain
PF03460	246	Nitrite/Sulfite reductase ferredoxin-like half domain
PF03461	25	TRCF domain
PF03462	292	PCRF domain
PF03463	247	eRF1 domain 1
PF03464	242	eRF1 domain 2
PF03465	260	eRF1 domain 3
PF03466	16	LysR substrate binding domain
PF03467	100	Smg-4/UPF3 family
PF03468	509	XS domain
PF03469	390	XH domain
PF03470	361	XS zinc finger domain
PF03471	69	Transporter associated domain
PF03473	138	MOSC domain
PF03476	141	MOSC N-terminal beta barrel domain
PF03477	97	ATP cone domain
PF03478	2013	Protein of unknown function (DUF295)
PF03479	1483	Plants and Prokaryotes Conserved (PCC) domain
PF03480	1	Bacterial extracellular solute-binding protein, family 7
PF03483	82	B3/4 domain
PF03484	68	tRNA synthetase B5 domain
PF03485	83	Arginyl tRNA synthetase N terminal domain
PF03486	63	HI0933-like protein
PF03489	428	Saposin-like type B, region 2
PF03492	1286	SAM dependent carboxyl methyltransferase
PF03501	139	Plectin/S10 domain
PF03514	2631	GRAS domain family
PF03517	63	Regulator of volume decrease after cellular swelling
PF03522	136	Solute carrier family 12
PF03531	77	Structure-specific recognition protein (SSRP1)
PF03540	68	Transcription initiation factor TFIID 23-30kDa subunit
PF03544	0	Gram-negative bacterial TonB protein C-terminal
PF03547	1118	Membrane transport protein
PF03548	1	Outer membrane lipoprotein carrier protein LolA
PF03551	1	Transcriptional regulator PadR-like family
PF03552	2361	Cellulose synthase
PF03556	200	Cullin binding
PF03562	1	MltA specific insert domain
PF03564	5	Protein of unknown function (DUF1759)
PF03567	16	Sulfotransferase family
PF03568	65	Peptidase family C50
PF03571	52	Peptidase family M49
PF03572	176	Peptidase family S41
PF03573	1	outer membrane porin, OprD family
PF03575	1	Peptidase family S51
PF03576	0	Peptidase family S58
PF03587	102	EMG1/NEP1 methyltransferase
PF03588	0	Leucyl/phenylalanyl-tRNA protein transferase
PF03595	311	Voltage-dependent anion channel
PF03600	216	Citrate transporter
PF03602	83	Conserved hypothetical protein 95
PF03604	64	DNA directed RNA polymerase, 7 kDa subunit
PF03609	0	PTS system sorbose-specific iic component
PF03613	0	PTS system mannose/fructose/sorbose family IID component
PF03618	67	Kinase/pyrophosphorylase
PF03619	355	Organic solute transporter Ostalpha
PF03626	0	Prokaryotic Cytochrome C oxidase subunit IV
PF03629	224	Carbohydrate esterase, sialic acid-specific acetylesterase
PF03630	131	Fumble
PF03634	1158	TCP family transcription factor
PF03635	145	Vacuolar protein sorting-associated protein 35
PF03637	131	Mob1/phocein family
PF03638	684	Tesmin/TSO1-like CXC domain, cysteine-rich domain
PF03639	126	Glycosyl hydrolase family 81 N-terminal domain
PF03641	671	Possible lysine decarboxylase
PF03643	142	Vacuolar protein sorting-associated protein 26
PF03644	77	Glycosyl hydrolase family 85
PF03647	307	Transmembrane proteins 14C
PF03648	1	Glycosyl hydrolase family 67 N-terminus
PF03649	59	Uncharacterised protein family (UPF0014)
PF03650	229	Mitochondrial pyruvate carriers
PF03652	145	Holliday junction resolvase
PF03656	104	Pam16
PF03657	68	UPF0113 PUA domain
PF03659	0	Glycosyl hydrolase family 71
PF03660	104	PHF5-like protein
PF03661	76	Transmembrane protein 33/Nucleoporin POM33
PF03662	282	Glycosyl hydrolase family 79, N-terminal domain
PF03665	57	Uncharacterised protein family (UPF0172)
PF03668	1	P-loop ATPase protein family
PF03669	54	Uncharacterised protein family (UPF0139)
PF03671	64	Ubiquitin fold modifier 1 protein
PF03676	54	Uncharacterised protein family (UPF0183)
PF03690	87	Uncharacterised protein family (UPF0160)
PF03692	52	Putative zinc- or iron-chelating domain
PF03693	1	Bacterial antitoxin of ParD toxin-antitoxin type II system and RHH
PF03694	56	Erg28 like protein
PF03703	54	Bacterial PH domain
PF03704	2	Bacterial transcriptional activator domain
PF03707	2	Bacterial signalling protein N terminal repeat
PF03710	0	Glutamate-ammonia ligase adenylyltransferase
PF03711	75	Orn/Lys/Arg decarboxylase, C-terminal domain
PF03712	0	Copper type II ascorbate-dependent monooxygenase, C-terminal domain
PF03714	1	Bacterial pullanase-associated domain
PF03715	107	Noc2p family
PF03716	2	WCCH motif
PF03717	1	Penicillin-binding Protein dimerisation domain
PF03719	237	Ribosomal protein S5, C-terminal domain
