ann_term	sum	annotation
PF01418	335	Helix-turn-helix domain, rpiR family
PF01420	166	Type I restriction modification DNA specificity domain
PF01425	8	Amidase
PF01427	53	D-ala-D-ala dipeptidase
PF01430	80	Hsp33 protein
PF01432	159	Peptidase family M3
PF01433	80	Peptidase family M1 domain
PF01434	85	Peptidase family M41
PF01435	325	Peptidase family M48
PF01443	2	Viral (Superfamily 1) RNA helicase
PF01446	5	Replication protein
PF01450	160	Acetohydroxy acid isomeroreductase, catalytic domain
PF01451	126	Low molecular weight phosphotyrosine protein phosphatase
PF01455	161	HupF/HypC family
PF01458	159	Uncharacterized protein family (UPF0051)
PF01464	551	Transglycosylase SLT domain
PF01467	264	Cytidylyltransferase-like
PF01471	121	Putative peptidoglycan binding domain
PF01472	80	PUA domain
PF01475	161	Ferric uptake regulator family
PF01476	650	LysM domain
PF01478	148	Type IV leader peptidase family
PF01479	637	S4 domain
PF01487	80	Type I 3-dehydroquinase
PF01488	163	Shikimate / quinate 5-dehydrogenase
PF01491	80	Frataxin-like domain
PF01493	78	GXGXG motif
PF01494	556	FAD binding domain
PF01497	418	Periplasmic binding protein
PF01501	199	Glycosyl transferase family 8
PF01502	80	Phosphoribosyl-AMP cyclohydrolase
PF01503	82	Phosphoribosyl-ATP pyrophosphohydrolase
PF01507	348	Phosphoadenosine phosphosulfate reductase family
PF01509	81	TruB family pseudouridylate synthase (N terminal domain)
PF01510	161	N-acetylmuramoyl-L-alanine amidase
PF01512	165	Respiratory-chain NADH dehydrogenase 51 Kd subunit
PF01513	80	ATP-NAD kinase
PF01514	152	Secretory protein of YscJ/FliF family
PF01515	238	Phosphate acetyl/butaryl transferase
PF01520	240	N-acetylmuramoyl-L-alanine amidase
PF01521	320	Iron-sulphur cluster biosynthesis
PF01522	250	Polysaccharide deacetylase
PF01523	162	Putative modulator of DNA gyrase
PF01526	50	Tn3 transposase DDE domain
PF01527	893	Transposase
PF01531	3	Glycosyl transferase family 11
PF01541	160	GIY-YIG catalytic domain
PF01544	191	CorA-like Mg2+ transporter protein
PF01545	157	Cation efflux family
PF01546	613	Peptidase family M20/M25/M40
PF01547	80	Bacterial extracellular solute-binding protein
PF01548	331	Transposase
PF01551	332	Peptidase family M23
PF01553	331	Acyltransferase
PF01554	479	MatE
PF01555	272	DNA methylase
PF01556	159	DnaJ C terminal domain
PF01557	220	Fumarylacetoacetate (FAA) hydrolase family
PF01558	80	Pyruvate ferredoxin/flavodoxin oxidoreductase
PF01564	80	Spermine/spermidine synthase domain
PF01565	451	FAD binding domain
PF01566	89	Natural resistance-associated macrophage protein
PF01568	1088	Molydopterin dinucleotide binding domain
PF01569	246	PAP2 superfamily
PF01571	168	Aminomethyltransferase folate-binding domain
PF01575	36	MaoC like domain
PF01578	316	Cytochrome C assembly protein
PF01580	81	FtsK/SpoIIIE family
PF01583	80	Adenylylsulphate kinase
PF01584	160	CheW-like domain
PF01588	240	Putative tRNA binding domain
PF01590	290	GAF domain
PF01592	80	NifU-like N terminal domain
PF01594	315	AI-2E family transporter
PF01595	157	Domain of unknown function DUF21
PF01597	80	Glycine cleavage H-protein
PF01609	584	Transposase DDE domain
PF01610	45	Transposase
PF01612	158	3'-5' exonuclease
PF01613	180	Flavin reductase like domain
PF01614	499	Bacterial transcriptional regulator
PF01618	268	MotA/TolQ/ExbB proton channel family
PF01619	78	Proline dehydrogenase
PF01624	80	MutS domain I
PF01625	83	Peptide methionine sulfoxide reductase
PF01627	415	Hpt domain
PF01632	80	Ribosomal protein L35
PF01634	80	ATP phosphoribosyltransferase
PF01636	313	Phosphotransferase enzyme family
PF01638	80	HxlR-like helix-turn-helix
PF01641	82	SelR domain
PF01642	75	Methylmalonyl-CoA mutase
PF01645	78	Conserved region in glutamate synthase
PF01648	255	4'-phosphopantetheinyl transferase superfamily
PF01649	80	Ribosomal protein S20
PF01653	159	NAD-dependent DNA ligase adenylation domain
PF01654	159	Cytochrome bd terminal oxidase subunit I
PF01656	107	CobQ/CobB/MinD/ParA nucleotide binding domain
PF01661	86	Macro domain
PF01668	80	SmpB protein
PF01676	232	Metalloenzyme superfamily
PF01678	160	Diaminopimelate epimerase
PF01679	80	Proteolipid membrane potential modulator
PF01687	80	Riboflavin kinase
PF01694	128	Rhomboid family
PF01695	334	IstB-like ATP binding protein
PF01697	1	Glycosyltransferase family 92
PF01699	320	Sodium/calcium exchanger protein
PF01702	81	Queuine tRNA-ribosyltransferase
PF01706	96	FliG C-terminal domain
PF01709	160	Transcriptional regulator
PF01713	160	Smr domain
PF01715	81	IPP transferase
PF01717	80	Cobalamin-independent synthase, Catalytic domain
PF01722	161	BolA-like protein
PF01725	80	Ham1 family
PF01726	139	LexA DNA binding domain
PF01728	159	FtsJ-like methyltransferase
PF01729	118	Quinolinate phosphoribosyl transferase, C-terminal domain
PF01730	12	UreF
PF01734	230	Patatin-like phospholipase
PF01738	154	Dienelactone hydrolase family
PF01739	80	CheR methyltransferase, SAM binding domain
PF01740	81	STAS domain
PF01741	79	Large-conductance mechanosensitive channel, MscL
PF01743	161	Poly A polymerase head domain
PF01746	79	tRNA (Guanine-1)-methyltransferase
PF01750	239	Hydrogenase maturation protease
PF01751	343	Toprim domain
PF01755	3	Glycosyltransferase family 25 (LPS biosynthesis protein)
PF01757	250	Acyltransferase family
PF01761	80	3-dehydroquinate synthase
PF01765	80	Ribosome recycling factor
PF01773	217	Na+ dependent nucleoside transporter N-terminus
PF01774	13	UreD urease accessory protein
PF01782	80	RimM N-terminal domain
PF01783	79	Ribosomal L32p protein family
PF01784	86	NIF3 (NGG1p interacting factor 3)
PF01790	80	Prolipoprotein diacylglyceryl transferase
PF01791	297	DeoC/LacD family aldolase
PF01794	83	Ferric reductase like transmembrane component
PF01795	80	MraW methylase family
PF01797	191	Transposase IS200 like
PF01799	198	[2Fe-2S] binding domain
PF01804	10	Penicillin amidase
PF01807	81	CHC2 zinc finger
PF01808	79	AICARFT/IMPCHase bienzyme
PF01809	82	Haemolytic domain
PF01810	476	LysE type translocator
PF01812	80	5-formyltetrahydrofolate cyclo-ligase family
PF01814	80	Hemerythrin HHE cation binding domain
PF01815	21	Rop protein
PF01817	160	Chorismate mutase type II
PF01820	160	D-ala D-ala ligase N-terminus
PF01832	159	Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase
PF01835	155	MG2 domain
PF01842	641	ACT domain
PF01844	222	HNH endonuclease
PF01845	67	CcdB protein
PF01848	743	Hok/gef family
PF01850	59	PIN domain
PF01855	80	Pyruvate flavodoxin/ferredoxin oxidoreductase, thiamine diP-bdg
PF01863	90	Protein of unknown function DUF45
PF01867	60	CRISPR associated protein Cas1
PF01869	79	BadF/BadG/BcrA/BcrD ATPase family
PF01872	81	RibD C-terminal domain
PF01874	81	ATP:dephospho-CoA triphosphoribosyl transferase
PF01883	37	Iron-sulfur cluster assembly protein
PF01885	65	RNA 2'-phosphotransferase, Tpt1 / KptA family
PF01887	40	S-adenosyl-l-methionine hydroxide adenosyltransferase
PF01894	80	Uncharacterised protein family UPF0047
PF01895	160	PhoU domain
PF01904	81	Protein of unknown function DUF72
PF01906	81	Putative heavy-metal-binding
PF01909	114	Nucleotidyltransferase domain
PF01914	240	MarC family integral membrane protein
PF01915	81	Glycosyl hydrolase family 3 C-terminal domain
PF01923	88	Cobalamin adenosyltransferase
PF01924	80	Hydrogenase formation hypA family
PF01925	100	Sulfite exporter TauE/SafE
PF01926	826	50S ribosome-binding GTPase
PF01928	81	CYTH domain
PF01931	80	Protein of unknown function DUF84
PF01933	81	Uncharacterised protein family UPF0052
PF01934	2	Protein of unknown function DUF86
PF01935	26	Domain of unknown function DUF87
PF01936	1	NYN domain
PF01938	160	TRAM domain
PF01943	186	Polysaccharide biosynthesis protein
PF01948	80	Aspartate carbamoyltransferase regulatory chain, allosteric domain
PF01957	82	NfeD-like C-terminal, partner-binding
PF01963	79	TraB family
PF01964	79	Radical SAM ThiC family
PF01965	200	DJ-1/PfpI family
PF01966	321	HD domain
PF01967	81	MoaC family
PF01970	38	Tripartite tricarboxylate transporter TctA family
PF01972	4	Serine dehydrogenase proteinase
PF01975	80	Survival protein SurE
PF01977	117	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
PF01978	6	Sugar-specific transcriptional regulator TrmB
PF01979	718	Amidohydrolase family
PF01980	80	Uncharacterised protein family UPF0066
PF01985	81	CRS1 / YhbY (CRM) domain
PF02016	80	LD-carboxypeptidase
PF02021	81	Uncharacterised protein family UPF0102
PF02028	251	BCCT, betaine/carnitine/choline family transporter
PF02033	81	Ribosome-binding factor A
PF02036	161	SCP-2 sterol transfer family
PF02040	58	Arsenical pump membrane protein
PF02048	3	Heat-stable enterotoxin ST
PF02049	97	Flagellar hook-basal body complex protein FliE
PF02050	96	Flagellar FliJ protein
PF02055	1	Glycosyl hydrolase family 30 TIM-barrel domain
PF02056	193	Family 4 glycosyl hydrolase
PF02061	15	Lambda Phage CIII
PF02065	7	Melibiase
PF02075	80	Crossover junction endodeoxyribonuclease RuvC
PF02080	714	TrkA-C domain
PF02082	163	Transcriptional regulator
PF02086	127	D12 class N6 adenine-specific DNA methyltransferase
PF02090	13	Salmonella surface presentation of antigen gene type M protein
PF02091	80	Glycyl-tRNA synthetase alpha subunit
PF02092	80	Glycyl-tRNA synthetase beta subunit
PF02096	80	60Kd inner membrane protein
PF02107	96	Flagellar L-ring protein
PF02108	97	Flagellar assembly protein FliH
PF02110	79	Hydroxyethylthiazole kinase family
PF02113	81	D-Ala-D-Ala carboxypeptidase 3 (S13) family
PF02119	95	Flagellar P-ring protein
PF02120	96	Flagellar hook-length control protein FliK
PF02126	118	Phosphotriesterase family
PF02129	69	X-Pro dipeptidyl-peptidase (S15 family)
PF02130	81	Uncharacterized protein family UPF0054
PF02132	80	RecR protein
PF02133	190	Permease for cytosine/purines, uracil, thiamine, allantoin
PF02142	237	MGS-like domain
PF02146	79	Sir2 family
PF02151	160	UvrB/uvrC motif
PF02152	161	Dihydroneopterin aldolase
PF02153	80	Prephenate dehydrogenase
PF02154	80	Flagellar motor switch protein FliM
PF02163	79	Peptidase family M50
PF02178	3	AT hook motif
PF02190	80	ATP-dependent protease La (LON) substrate-binding domain
PF02195	258	ParB-like nuclease domain
PF02203	261	Tar ligand binding domain homologue
PF02219	81	Methylenetetrahydrofolate reductase
PF02222	158	ATP-grasp domain
PF02223	79	Thymidylate kinase
PF02224	80	Cytidylate kinase
PF02230	80	Phospholipase/Carboxylesterase
PF02233	80	NAD(P) transhydrogenase beta subunit
PF02237	79	Biotin protein ligase C terminal domain
PF02253	80	Phospholipase A1
PF02254	473	TrkA-N domain
PF02255	123	PTS system, Lactose/Cellobiose specific IIA subunit
PF02258	22	Shiga-like toxin beta subunit
PF02261	80	Aspartate decarboxylase
PF02264	206	LamB porin
PF02272	156	DHHA1 domain
PF02274	19	Amidinotransferase
PF02275	2	Linear amide C-N hydrolases, choloylglycine hydrolase family
PF02277	80	Phosphoribosyltransferase
PF02281	40	Transposase Tn5 dimerisation domain
PF02283	80	Cobinamide kinase / cobinamide phosphate guanyltransferase
PF02286	8	Dehydratase large subunit
PF02287	8	Dehydratase small subunit
PF02288	16	Dehydratase medium subunit
PF02300	82	Fumarate reductase subunit C
PF02302	974	PTS system, Lactose/Cellobiose specific IIB subunit
PF02308	81	MgtC family
PF02310	145	B12 binding domain
PF02311	518	AraC-like ligand binding domain
PF02313	82	Fumarate reductase subunit D
PF02316	5	Mu DNA-binding domain
PF02321	796	Outer membrane efflux protein
PF02322	160	Cytochrome bd terminal oxidase subunit II
PF02325	159	YGGT family
PF02332	1	Methane/Phenol/Toluene Hydroxylase
PF02335	78	Cytochrome c552
PF02342	101	TerD domain
PF02347	160	Glycine cleavage system P-protein
PF02348	133	Cytidylyltransferase
PF02350	105	UDP-N-acetylglucosamine 2-epimerase
PF02353	80	Mycolic acid cyclopropane synthetase
PF02355	160	Protein export membrane protein
PF02357	179	Transcription termination factor nusG
PF02358	80	Trehalose-phosphatase
PF02361	60	Cobalt transport protein
PF02366	80	Dolichyl-phosphate-mannose-protein mannosyltransferase
PF02367	81	Threonylcarbamoyl adenosine biosynthesis protein TsaE
PF02368	216	Bacterial Ig-like domain (group 2)
PF02369	866	Bacterial Ig-like domain (group 1)
PF02371	335	Transposase IS116/IS110/IS902 family
PF02374	20	Anion-transporting ATPase
PF02378	1226	Phosphotransferase system, EIIC
PF02381	160	MraZ protein, putative antitoxin-like
PF02382	18	RTX N-terminal domain
PF02384	129	N-6 DNA Methylase
PF02386	96	Cation transport protein
PF02387	72	IncFII RepA protein family
PF02390	79	Putative methyltransferase
PF02391	81	MoaE protein
PF02395	111	Immunoglobulin A1 protease
PF02397	79	Bacterial sugar transferase
PF02401	79	LytB protein
PF02402	6	Lysis protein
PF02403	80	Seryl-tRNA synthetase N-terminal domain
PF02405	82	Permease MlaE
PF02410	81	Ribosomal silencing factor during starvation
PF02411	14	MerT mercuric transport protein
PF02413	445	Caudovirales tail fibre assembly protein, lambda gpK
PF02415	149	Chlamydia polymorphic membrane protein (Chlamydia_PMP) repeat
PF02416	161	mttA/Hcf106 family
PF02417	18	Chromate transporter
PF02421	79	Ferrous iron transport protein B
PF02424	79	ApbE family
PF02432	4	Fimbrial, major and minor subunit
PF02441	197	Flavoprotein
PF02445	81	Quinolinate synthetase A protein
PF02446	80	4-alpha-glucanotransferase
PF02447	415	GntP family permease
PF02449	2	Beta-galactosidase
PF02452	187	PemK-like, MazF-like toxin of type II toxin-antitoxin system
PF02463	167	RecF/RecN/SMC N terminal domain
PF02464	127	Competence-damaged protein
PF02465	96	Flagellar hook-associated protein 2 N-terminus
PF02470	800	MlaD protein
PF02472	162	Biopolymer transport protein ExbD/TolR
PF02481	111	DNA recombination-mediator protein A
PF02482	161	Sigma 54 modulation protein / S30EA ribosomal protein
PF02485	1	Core-2/I-Branching enzyme
PF02486	1	Replication initiation factor
PF02491	80	SHS2 domain inserted in FTSA
PF02492	267	CobW/HypB/UreG, nucleotide-binding domain
PF02498	86	BRO family, N-terminal domain
PF02501	109	Type II secretion system (T2SS), protein I
PF02502	81	Ribose/Galactose Isomerase
PF02503	80	Polyphosphate kinase middle domain
PF02504	79	Fatty acid synthesis protein
PF02508	160	Rnf-Nqr subunit, membrane protein
PF02510	14	Surface presentation of antigens protein
PF02515	243	CoA-transferase family III
PF02517	49	CAAX protease self-immunity
PF02518	2605	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase
PF02522	10	Aminoglycoside 3-N-acetyltransferase
PF02525	361	Flavodoxin-like fold
PF02527	79	rRNA small subunit methyltransferase G
PF02534	20	Type IV secretory system Conjugative DNA transfer
PF02535	81	ZIP Zinc transporter
PF02537	88	CrcB-like protein, Camphor Resistance (CrcB)
PF02540	160	NAD synthase
PF02541	159	Ppx/GppA phosphatase family
PF02542	80	YgbB family
PF02545	161	Maf-like protein
PF02547	79	Queuosine biosynthesis protein
PF02548	79	Ketopantoate hydroxymethyltransferase
PF02550	53	Acetyl-CoA hydrolase/transferase N-terminal domain
PF02554	159	Carbon starvation protein CstA
PF02556	80	Preprotein translocase subunit SecB
PF02558	79	Ketopantoate reductase PanE/ApbA
PF02559	77	CarD-like/TRCF domain
PF02560	55	Cyanate lyase C-terminal domain
PF02561	97	Flagellar protein FliS
PF02562	158	PhoH-like protein
PF02563	160	Polysaccharide biosynthesis/export protein
PF02565	80	Recombination protein O C terminal
PF02566	161	OsmC-like protein
PF02567	78	Phenazine biosynthesis-like protein
PF02568	79	Thiamine biosynthesis protein (ThiI)
PF02569	80	Pantoate-beta-alanine ligase
PF02572	95	ATP:corrinoid adenosyltransferase BtuR/CobO/CobP
PF02574	87	Homocysteine S-methyltransferase
PF02575	80	YbaB/EbfC DNA-binding family
PF02576	84	RimP N-terminal domain
PF02578	80	Multi-copper polyphenol oxidoreductase laccase
PF02580	80	D-Tyr-tRNA(Tyr) deacylase
PF02581	79	Thiamine monophosphate synthase
PF02583	161	Metal-sensitive transcriptional repressor
PF02585	84	GlcNAc-PI de-N-acetylase
PF02586	77	SOS response associated peptidase (SRAP)
PF02589	159	LUD domain
PF02590	81	Predicted SPOUT methyltransferase
PF02592	80	Putative vitamin uptake transporter
PF02594	80	Uncharacterised ACR, YggU family COG1872
PF02595	170	Glycerate kinase family
PF02597	160	ThiS family
PF02599	80	Global regulator protein family
PF02600	108	Disulfide bond formation protein DsbB
PF02601	79	Exonuclease VII, large subunit
PF02602	80	Uroporphyrinogen-III synthase HemD
PF02604	127	Antitoxin Phd_YefM, type II toxin-antitoxin system
PF02606	79	Tetraacyldisaccharide-1-P 4'-kinase
PF02607	80	B12 binding domain
PF02609	80	Exonuclease VII small subunit
PF02610	80	L-arabinose isomerase
PF02611	80	CDP-diacylglycerol pyrophosphatase
PF02613	396	Nitrate reductase delta subunit
PF02614	81	Glucuronate isomerase
PF02615	277	Malate/L-lactate dehydrogenase
PF02617	80	ATP-dependent Clp protease adaptor protein ClpS
PF02618	77	YceG-like family
PF02620	78	Uncharacterized ACR, COG1399
PF02622	80	Uncharacterized ACR, COG1678
PF02624	80	YcaO cyclodehydratase, ATP-ad Mg2+-binding
PF02625	120	XdhC and CoxI family
PF02626	81	Carboxyltransferase domain, subdomain A and B
PF02627	121	Carboxymuconolactone decarboxylase family
PF02629	294	CoA binding domain
PF02631	80	RecX family
PF02634	80	FdhD/NarQ family
PF02635	240	DsrE/DsrF-like family
PF02638	80	Glycosyl hydrolase-like 10
PF02639	80	Uncharacterized BCR, YaiI/YqxD family COG1671
PF02643	1	Uncharacterized ACR, COG1430
PF02646	80	RmuC family
PF02652	148	L-lactate permease
PF02653	997	Branched-chain amino acid transport system / permease component
PF02654	79	Cobalamin-5-phosphate synthase
PF02656	160	Domain of unknown function (DUF202)
PF02657	160	Fe-S metabolism associated domain
PF02659	80	Putative manganese efflux pump
PF02660	81	Glycerol-3-phosphate acyltransferase
PF02661	146	Fic/DOC family
PF02664	80	S-Ribosylhomocysteinase (LuxS)
PF02665	160	Nitrate reductase gamma subunit
PF02666	81	Phosphatidylserine decarboxylase
PF02667	51	Short chain fatty acid transporter
PF02668	80	Taurine catabolism dioxygenase TauD, TfdA family
PF02669	82	K+-transporting ATPase, c chain
PF02670	78	1-deoxy-D-xylulose 5-phosphate reductoisomerase
PF02673	81	Bacitracin resistance protein BacA
PF02674	80	Colicin V production protein
PF02675	80	S-adenosylmethionine decarboxylase
PF02677	20	Uncharacterized BCR, COG1636
PF02678	160	Pirin
PF02682	80	Carboxyltransferase domain, subdomain C and D
PF02683	80	Cytochrome C biogenesis protein transmembrane region
PF02684	80	Lipid-A-disaccharide synthetase
PF02685	80	Glucokinase
PF02687	352	FtsX-like permease family
PF02690	79	Na+/Pi-cotransporter
PF02694	80	Uncharacterised BCR, YnfA/UPF0060 family
PF02696	79	Uncharacterized ACR, YdiU/UPF0061 family
PF02698	319	DUF218 domain
PF02699	83	Preprotein translocase subunit
PF02702	80	Osmosensitive K+ channel His kinase sensor domain
PF02705	79	K+ potassium transporter
PF02706	356	Chain length determinant protein
PF02709	1	N-terminal domain of galactosyltransferase
PF02719	6	Polysaccharide biosynthesis protein
PF02727	34	Copper amine oxidase, N2 domain
PF02728	34	Copper amine oxidase, N3 domain
PF02729	256	Aspartate/ornithine carbamoyltransferase, carbamoyl-P binding domain
PF02730	77	Aldehyde ferredoxin oxidoreductase, N-terminal domain
PF02733	87	Dak1 domain
PF02734	87	DAK2 domain
PF02737	206	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain
PF02738	200	Molybdopterin-binding domain of aldehyde dehydrogenase
PF02739	160	5'-3' exonuclease, N-terminal resolvase-like domain
PF02742	81	Iron dependent repressor, metal binding and dimerisation domain
PF02743	24	Cache domain
PF02744	81	Galactose-1-phosphate uridyl transferase, C-terminal domain
PF02746	395	Mandelate racemase / muconate lactonizing enzyme, N-terminal domain
PF02748	80	Aspartate carbamoyltransferase regulatory chain, metal binding domain
PF02749	118	Quinolinate phosphoribosyl transferase, N-terminal domain
PF02753	847	Pili assembly chaperone PapD, C-terminal domain
PF02754	448	Cysteine-rich domain
PF02767	80	DNA polymerase III beta subunit, central domain
PF02768	80	DNA polymerase III beta subunit, C-terminal domain
PF02769	480	AIR synthase related protein, C-terminal domain
PF02770	326	Acyl-CoA dehydrogenase, middle domain
PF02771	245	Acyl-CoA dehydrogenase, N-terminal domain
PF02772	88	S-adenosylmethionine synthetase, central domain
PF02773	88	S-adenosylmethionine synthetase, C-terminal domain
PF02774	241	Semialdehyde dehydrogenase, dimerisation domain
PF02775	648	Thiamine pyrophosphate enzyme, C-terminal TPP binding domain
PF02776	568	Thiamine pyrophosphate enzyme, N-terminal TPP binding domain
PF02777	160	Iron/manganese superoxide dismutases, C-terminal domain
PF02779	381	Transketolase, pyrimidine binding domain
PF02780	276	Transketolase, C-terminal domain
PF02781	80	Glucose-6-phosphate dehydrogenase, C-terminal domain
PF02782	656	FGGY family of carbohydrate kinases, C-terminal domain
PF02784	160	Pyridoxal-dependent decarboxylase, pyridoxal binding domain
PF02785	82	Biotin carboxylase C-terminal domain
PF02786	240	Carbamoyl-phosphate synthase L chain, ATP binding domain
PF02787	79	Carbamoyl-phosphate synthetase large chain, oligomerisation domain
PF02789	80	Cytosol aminopeptidase family, N-terminal domain
PF02794	27	RTX toxin acyltransferase family
PF02796	238	Helix-turn-helix domain of resolvase
PF02798	333	Glutathione S-transferase, N-terminal domain
PF02800	230	Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain
PF02801	282	Beta-ketoacyl synthase, C-terminal domain
PF02803	332	Thiolase, C-terminal domain
PF02805	79	Metal binding domain of Ada
PF02806	185	Alpha amylase, C-terminal all-beta domain
PF02810	322	SEC-C motif
PF02811	241	PHP domain
PF02812	80	Glu/Leu/Phe/Val dehydrogenase, dimerisation domain
PF02814	12	UreE urease accessory protein, N-terminal domain
PF02817	183	e3 binding domain
PF02823	81	ATP synthase, Delta/Epsilon chain, beta-sandwich domain
PF02824	240	TGS domain
PF02826	441	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain
PF02831	163	gpW
PF02834	162	LigT like Phosphoesterase
PF02836	236	Glycosyl hydrolases family 2, TIM barrel domain
PF02837	235	Glycosyl hydrolases family 2, sugar binding domain
PF02839	44	Carbohydrate binding domain
PF02843	79	Phosphoribosylglycinamide synthetase, C domain
PF02844	79	Phosphoribosylglycinamide synthetase, N domain
PF02852	359	Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain
PF02861	281	Clp amino terminal domain, pathogenicity island component
PF02863	101	Arginine repressor, C-terminal domain
PF02866	81	lactate/malate dehydrogenase, alpha/beta C-terminal domain
PF02867	161	Ribonucleotide reductase, barrel domain
PF02870	158	6-O-methylguanine DNA methyltransferase, ribonuclease-like domain
PF02872	229	5'-nucleotidase, C-terminal domain
PF02873	79	UDP-N-acetylenolpyruvoylglucosamine reductase, C-terminal domain
PF02874	160	ATP synthase alpha/beta family, beta-barrel domain
PF02875	480	Mur ligase family, glutamate ligase domain
PF02878	271	Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I
PF02879	269	Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain II
PF02880	269	Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III
PF02881	159	SRP54-type protein, helical bundle domain
PF02882	80	Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain
PF02885	240	Glycosyl transferase family, helical bundle domain
PF02887	160	Pyruvate kinase, alpha/beta domain
PF02894	250	Oxidoreductase family, C-terminal alpha/beta domain
PF02895	80	Signal transducing histidine kinase, homodimeric domain
PF02896	411	PEP-utilising enzyme, TIM barrel domain
PF02897	77	Prolyl oligopeptidase, N-terminal beta-propeller domain
PF02899	288	Phage integrase, N-terminal SAM-like domain
PF02900	172	Catalytic LigB subunit of aromatic ring-opening dioxygenase
PF02901	294	Pyruvate formate lyase-like
PF02902	34	Ulp1 protease family, C-terminal catalytic domain
PF02903	85	Alpha amylase, N-terminal ig-like domain
PF02909	29	Tetracyclin repressor, C-terminal all-alpha domain
PF02910	241	Fumarate reductase flavoprotein C-term
PF02911	159	Formyl transferase, C-terminal domain
PF02912	80	Aminoacyl tRNA synthetase class II, N-terminal domain
PF02913	225	FAD linked oxidases, C-terminal domain
PF02914	2	Bacteriophage Mu transposase
PF02922	223	Carbohydrate-binding module 48 (Isoamylase N-terminal domain)
PF02924	168	Bacteriophage lambda head decoration protein D
PF02926	158	THUMP domain
PF02929	162	Beta galactosidase small chain
PF02938	80	GAD domain
PF02945	1	Recombination endonuclease VII
PF02948	1	Amelogenin
PF02951	80	Prokaryotic glutathione synthetase, N-terminal domain
PF02952	79	L-fucose isomerase, C-terminal domain
PF02954	783	Bacterial regulatory protein, Fis family
PF02955	80	Prokaryotic glutathione synthetase, ATP-grasp domain
PF02962	21	5-carboxymethyl-2-hydroxymuconate isomerase
PF02965	80	Vitamin B12 dependent methionine synthase, activation domain
PF02976	80	DNA mismatch repair enzyme MutH
PF02978	80	Signal peptide binding domain
PF03006	80	Haemolysin-III related
PF03009	159	Glycerophosphoryl diester phosphodiesterase family
PF03023	80	MviN-like protein
PF03033	80	Glycosyltransferase family 28 N-terminal domain
PF03050	378	Transposase IS66 family
PF03054	80	tRNA methyl transferase
PF03061	438	Thioesterase superfamily
PF03063	80	Prismane/CO dehydrogenase family
PF03090	18	Replicase family
PF03091	81	CutA1 divalent ion tolerance protein
PF03096	1	Ndr family
PF03099	197	Biotin/lipoate A/B protein ligase family
PF03100	80	CcmE
PF03102	17	NeuB family
PF03104	160	DNA polymerase family B, exonuclease domain
PF03109	80	ABC1 family
PF03116	78	NQR2, RnfD, RnfE family
PF03118	80	Bacterial RNA polymerase, alpha chain C terminal domain
PF03119	80	NAD-dependent DNA ligase C4 zinc finger domain
PF03120	158	NAD-dependent DNA ligase OB-fold domain
PF03123	84	CAT RNA binding domain
PF03129	240	Anticodon binding domain
PF03135	23	CagE, TrbE, VirB family, component of type IV transporter system
PF03143	155	Elongation factor Tu C-terminal domain
PF03144	555	Elongation factor Tu domain 2
PF03147	78	Ferredoxin-fold anticodon binding domain
PF03150	77	Di-haem cytochrome c peroxidase
PF03167	163	Uracil DNA glycosylase superfamily
PF03170	80	Bacterial cellulose synthase subunit
PF03176	14	MMPL family
PF03180	159	NLPA lipoprotein
PF03193	81	RsgA GTPase
PF03199	4	Eukaryotic glutathione synthase
PF03203	13	MerC mercury resistance protein
PF03205	79	Molybdopterin guanine dinucleotide synthesis protein B
PF03212	342	Pertactin
PF03222	478	Tryptophan/tyrosine permease family
PF03230	296	Antirestriction protein
PF03235	89	Protein of unknown function DUF262
PF03237	101	Terminase-like family
PF03239	89	Iron permease FTR1 family
PF03241	20	4-hydroxyphenylacetate 3-hydroxylase C terminal
PF03243	1	Alkylmercury lyase
PF03245	248	Bacteriophage Rz lysis protein
PF03253	5	Urea transporter
PF03255	80	Acetyl co-enzyme A carboxylase carboxyltransferase alpha subunit
PF03264	239	NapC/NirT cytochrome c family, N-terminal region
PF03275	5	UDP-galactopyranose mutase
PF03278	40	IpaB/EvcA family
PF03279	260	Bacterial lipid A biosynthesis acyltransferase
PF03288	46	Poxvirus D5 protein-like
PF03308	53	ArgK protein
PF03313	322	Serine dehydratase alpha chain
PF03315	240	Serine dehydratase beta chain
PF03319	104	Ethanolamine utilisation protein EutN/carboxysome
PF03320	143	Bacterial fructose-1,6-bisphosphatase, glpX-encoded
PF03328	263	HpcH/HpaI aldolase/citrate lyase family
PF03330	80	Lytic transglycolase
PF03331	80	UDP-3-O-acyl N-acetylglycosamine deacetylase
PF03333	55	Adhesin biosynthesis transcription regulatory protein
PF03335	305	Phage tail fibre repeat
